repository_owner,repository_name,pr_number,waste,num_commits,status
facebook,hhvm,8481,1068,1,abandoned
facebook,hhvm,8516,70005,1,open
facebook,hhvm,8506,57,1,abandoned
facebook,hhvm,8508,803,2,abandoned
facebook,hhvm,8464,1,1,abandoned
facebook,hhvm,8480,345,1,abandoned
facebook,hhvm,8513,47,1,abandoned
facebook,hhvm,8460,2265,1,abandoned
facebook,hhvm,8503,13456,1,abandoned
facebook,hhvm,8479,110,1,abandoned
facebook,hhvm,8449,658,1,abandoned
facebook,hhvm,8474,2106,1,abandoned
facebook,hhvm,8439,209874,1,abandoned
facebook,hhvm,8435,11603,2,abandoned
facebook,hhvm,8427,28319,1,abandoned
facebook,hhvm,8426,36102,1,abandoned
facebook,hhvm,8437,210049,1,abandoned
facebook,hhvm,8436,209880,1,abandoned
facebook,hhvm,8457,6813,2,abandoned
facebook,hhvm,8438,209831,1,abandoned
facebook,hhvm,8459,899,4,abandoned
facebook,hhvm,8406,163,1,abandoned
facebook,hhvm,8421,2622,1,abandoned
facebook,hhvm,8422,6976082,2,abandoned
facebook,hhvm,8409,1,1,abandoned
facebook,hhvm,8447,1197716,5,abandoned
facebook,hhvm,8402,36,1,abandoned
facebook,hhvm,8410,2,1,abandoned
facebook,hhvm,8401,508,2,abandoned
facebook,hhvm,8400,14,3,open
facebook,hhvm,8392,1,1,open
facebook,hhvm,8391,23577,1,abandoned
facebook,hhvm,8390,3147,1,abandoned
facebook,hhvm,8394,4470,1,abandoned
facebook,hhvm,8341,854,2,abandoned
facebook,hhvm,8340,270,1,abandoned
facebook,hhvm,8362,13,1,open
facebook,hhvm,8398,2878,1,abandoned
facebook,hhvm,8382,4988,1,abandoned
facebook,hhvm,8338,0,0,abandoned
facebook,hhvm,8332,2637141,1,abandoned
facebook,hhvm,8330,6856,1,abandoned
facebook,hhvm,8336,8779,1,abandoned
facebook,hhvm,8342,2850,3,abandoned
facebook,hhvm,8399,177,3,abandoned
facebook,hhvm,8326,184,1,abandoned
facebook,hhvm,8323,232,1,abandoned
facebook,hhvm,8335,9772,1,open
facebook,hhvm,8321,22,1,abandoned
